Soort zuivelproduct,Vervaardigd product,Jaar,Maand,Hoeveelheid  product
Verse zuivelproducten (in l),Yoghurt,2022,Maart 2022,4539583.0
Verse zuivelproducten (in l),Yoghurt,2022,April 2022,4292255.0
Verse zuivelproducten (in l),Yoghurt,2022,Mei 2022,4791197.0
Verse zuivelproducten (in l),Yoghurt,2022,Juni 2022,4653950.0
Verse zuivelproducten (in l),Yoghurt,2022,Juli 2022,4261614.0
Verse zuivelproducten (in l),Yoghurt,2022,Augustus 2022,4694244.0
Verse zuivelproducten (in l),Yoghurt,2022,September 2022,5047264.0
Verse zuivelproducten (in l),Yoghurt,2022,Oktober 2022,4790744.0
Verse zuivelproducten (in l),Yoghurt,2022,November 2022,4469574.0
Verse zuivelproducten (in l),Yoghurt,2022,December 2022,4000403.0
Verse zuivelproducten (in l),Yoghurt,2023,Januari 2023,
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Januari 2022,24300077.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Februari 2022,22449701.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Maart 2022,23807154.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,April 2022,23801609.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Mei 2022,22364876.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Juni 2022,18725022.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Juli 2022,20179274.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Augustus 2022,18510410.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,September 2022,20669338.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,Oktober 2022,21251707.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,November 2022,18685057.0
Verse zuivelproducten (in l),Gefermenteerde melk,2022,December 2022,20350232.0
Verse zuivelproducten (in l),Gefermenteerde melk,2023,Januari 2023,
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Januari 2022,7810761.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Februari 2022,8497896.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Maart 2022,11333532.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,April 2022,10759074.0
Verse zuivelproducten (in l),Desserts op basis van melk/room,2022,Mei 2022,11987539.0
