Gebruikt product,Jaar,Maand,Hoeveelheid  product (BE)
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Juni 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Juli 2022,300.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Augustus 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,September 2022,200.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,Oktober 2022,200.0
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,November 2022,
Poeder van halfvolle melk - gedeeltel. afger. melk,2022,December 2022,
Poeder van magere melk,2021,December 2021,108885.0
Poeder van magere melk,2022,Januari 2022,67588.0
Poeder van magere melk,2022,Februari 2022,97492.0
Poeder van magere melk,2022,Maart 2022,146099.0
Poeder van magere melk,2022,April 2022,105235.0
Poeder van magere melk,2022,Mei 2022,108468.0
Poeder van magere melk,2022,Juni 2022,108851.0
Poeder van magere melk,2022,Juli 2022,107087.0
Poeder van magere melk,2022,Augustus 2022,100222.0
Poeder van magere melk,2022,September 2022,99156.0
Poeder van magere melk,2022,Oktober 2022,106898.0
Poeder van magere melk,2022,November 2022,83516.0
Poeder van magere melk,2022,December 2022,83936.0
Poeder van karnemelk,2021,December 2021,
Poeder van karnemelk,2022,Januari 2022,
Poeder van karnemelk,2022,Februari 2022,
Poeder van karnemelk,2022,Maart 2022,
Poeder van karnemelk,2022,April 2022,
Poeder van karnemelk,2022,Mei 2022,
Poeder van karnemelk,2022,Juni 2022,
Poeder van karnemelk,2022,Juli 2022,
Poeder van karnemelk,2022,Augustus 2022,
Poeder van karnemelk,2022,September 2022,
Poeder van karnemelk,2022,Oktober 2022,
Poeder van karnemelk,2022,November 2022,
Poeder van karnemelk,2022,December 2022,
Poeder van wei,2021,December 2021,10585.0
Poeder van wei,2022,Januari 2022,17671.0
Poeder van wei,2022,Februari 2022,24816.0
Poeder van wei,2022,Maart 2022,14248.0
Poeder van wei,2022,April 2022,10447.0
Poeder van wei,2022,Mei 2022,10357.0
Poeder van wei,2022,Juni 2022,28411.0
Poeder van wei,2022,Juli 2022,11473.0
Poeder van wei,2022,Augustus 2022,15106.0
Poeder van wei,2022,September 2022,33344.0
Poeder van wei,2022,Oktober 2022,7205.0
Poeder van wei,2022,November 2022,6729.0
Poeder van wei,2022,December 2022,11514.0
Poeder van andere melkproducten,2021,December 2021,10740.0
Poeder van andere melkproducten,2022,Januari 2022,15075.0
Poeder van andere melkproducten,2022,Februari 2022,14735.0
Poeder van andere melkproducten,2022,Maart 2022,14510.0
Poeder van andere melkproducten,2022,April 2022,15457.0
Poeder van andere melkproducten,2022,Mei 2022,16709.0
Poeder van andere melkproducten,2022,Juni 2022,14410.0
Poeder van andere melkproducten,2022,Juli 2022,15170.0
Poeder van andere melkproducten,2022,Augustus 2022,13140.0
Poeder van andere melkproducten,2022,September 2022,13445.0
Poeder van andere melkproducten,2022,Oktober 2022,10820.0
Poeder van andere melkproducten,2022,November 2022,9000.0
Poeder van andere melkproducten,2022,December 2022,7246.0
Geëvaporeerde melk (niet gesuikerd),2021,December 2021,25280.0
Geëvaporeerde melk (niet gesuikerd),2022,Januari 2022,23900.0
Geëvaporeerde melk (niet gesuikerd),2022,Februari 2022,
Geëvaporeerde melk (niet gesuikerd),2022,Maart 2022,50340.0
Geëvaporeerde melk (niet gesuikerd),2022,April 2022,26120.0
Geëvaporeerde melk (niet gesuikerd),2022,Mei 2022,49280.0
Geëvaporeerde melk (niet gesuikerd),2022,Juni 2022,51230.0
Geëvaporeerde melk (niet gesuikerd),2022,Juli 2022,
Geëvaporeerde melk (niet gesuikerd),2022,Augustus 2022,
Geëvaporeerde melk (niet gesuikerd),2022,September 2022,
Geëvaporeerde melk (niet gesuikerd),2022,Oktober 2022,
Geëvaporeerde melk (niet gesuikerd),2022,November 2022,
Geëvaporeerde melk (niet gesuikerd),2022,December 2022,
Gecondenseerde melk (gesuikerd),2021,December 2021,
Gecondenseerde melk (gesuikerd),2022,Januari 2022,
Gecondenseerde melk (gesuikerd),2022,Februari 2022,
Gecondenseerde melk (gesuikerd),2022,Maart 2022,
Gecondenseerde melk (gesuikerd),2022,April 2022,
Gecondenseerde melk (gesuikerd),2022,Mei 2022,
Gecondenseerde melk (gesuikerd),2022,Juni 2022,
Gecondenseerde melk (gesuikerd),2022,Juli 2022,
Gecondenseerde melk (gesuikerd),2022,Augustus 2022,
Gecondenseerde melk (gesuikerd),2022,September 2022,
Gecondenseerde melk (gesuikerd),2022,Oktober 2022,
Gecondenseerde melk (gesuikerd),2022,November 2022,
