Alle economische activiteiten,Sectie,Jaar,Maand,Verlies van fulltime banen,Verlies van parttime banen,Banenverlies van loontrekkende werkgevers,Totaal banenverlies
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2023,Januari 2023,3.0,1.0,18.0,22.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2023,Februari 2023,7.0,1.0,19.0,27.0
Alle economische activiteiten,L Exploitatie van en handel in onroerend goed,2023,Maart 2023,2.0,0.0,13.0,15.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Maart 2022,20.0,3.0,77.0,100.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,April 2022,130.0,8.0,54.0,192.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Mei 2022,31.0,8.0,90.0,129.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Juni 2022,27.0,8.0,83.0,118.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Juli 2022,41.0,11.0,60.0,112.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Augustus 2022,29.0,10.0,27.0,66.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,September 2022,20.0,8.0,79.0,107.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,Oktober 2022,21.0,11.0,79.0,111.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,November 2022,21.0,3.0,61.0,85.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2022,December 2022,75.0,77.0,68.0,220.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2023,Januari 2023,171.0,49.0,78.0,298.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2023,Februari 2023,20.0,7.0,69.0,96.0
Alle economische activiteiten,M Vrije beroepen en wetenschappelijke en technische activiteiten,2023,Maart 2023,25.0,19.0,86.0,130.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Maart 2022,38.0,8.0,50.0,96.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,April 2022,30.0,32.0,41.0,103.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Mei 2022,28.0,100.0,57.0,185.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Juni 2022,83.0,103.0,87.0,273.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Juli 2022,6.0,13.0,30.0,49.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Augustus 2022,22.0,45.0,20.0,87.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,September 2022,60.0,31.0,52.0,143.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,Oktober 2022,44.0,42.0,58.0,144.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,November 2022,32.0,12.0,38.0,82.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2022,December 2022,52.0,39.0,66.0,157.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2023,Januari 2023,73.0,16.0,53.0,142.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2023,Februari 2023,59.0,60.0,60.0,179.0
Alle economische activiteiten,N Administratieve en ondersteunende diensten,2023,Maart 2023,57.0,73.0,54.0,184.0
Alle economische activiteiten,P Onderwijs,2022,Maart 2022,1.0,0.0,2.0,3.0
Alle economische activiteiten,P Onderwijs,2022,April 2022,20.0,7.0,8.0,35.0
Alle economische activiteiten,P Onderwijs,2022,Mei 2022,0.0,0.0,7.0,7.0
Alle economische activiteiten,P Onderwijs,2022,Juni 2022,2.0,2.0,11.0,15.0
Alle economische activiteiten,P Onderwijs,2022,Juli 2022,22.0,21.0,1.0,44.0
Alle economische activiteiten,P Onderwijs,2022,Augustus 2022,0.0,7.0,3.0,10.0
Alle economische activiteiten,P Onderwijs,2022,September 2022,4.0,3.0,4.0,11.0
Alle economische activiteiten,P Onderwijs,2022,Oktober 2022,1.0,0.0,5.0,6.0
Alle economische activiteiten,P Onderwijs,2022,November 2022,1.0,12.0,5.0,18.0
Alle economische activiteiten,P Onderwijs,2022,December 2022,2.0,6.0,1.0,9.0
Alle economische activiteiten,P Onderwijs,2023,Januari 2023,3.0,0.0,5.0,8.0
Alle economische activiteiten,P Onderwijs,2023,Februari 2023,0.0,1.0,7.0,8.0
Alle economische activiteiten,P Onderwijs,2023,Maart 2023,3.0,0.0,7.0,10.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Maart 2022,21.0,1.0,17.0,39.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,April 2022,18.0,3.0,13.0,34.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Mei 2022,3.0,10.0,22.0,35.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Juni 2022,5.0,4.0,25.0,34.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Juli 2022,10.0,5.0,15.0,30.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Augustus 2022,0.0,0.0,7.0,7.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,September 2022,14.0,12.0,18.0,44.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,Oktober 2022,74.0,86.0,16.0,176.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,November 2022,113.0,25.0,25.0,163.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2022,December 2022,61.0,25.0,33.0,119.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2023,Januari 2023,11.0,3.0,15.0,29.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2023,Februari 2023,11.0,2.0,15.0,28.0
Alle economische activiteiten,Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,2023,Maart 2023,21.0,11.0,21.0,53.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Maart 2022,8.0,4.0,14.0,26.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,April 2022,9.0,1.0,18.0,28.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Mei 2022,9.0,16.0,37.0,62.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Juni 2022,58.0,13.0,39.0,110.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Juli 2022,2.0,7.0,12.0,21.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Augustus 2022,7.0,0.0,7.0,14.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,September 2022,5.0,3.0,25.0,33.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,Oktober 2022,13.0,4.0,30.0,47.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,November 2022,31.0,4.0,35.0,70.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2022,December 2022,0.0,3.0,17.0,20.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2023,Januari 2023,6.0,7.0,19.0,32.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2023,Februari 2023,15.0,10.0,23.0,48.0
Alle economische activiteiten,"R Kunst, amusement en recreatie",2023,Maart 2023,2.0,7.0,21.0,30.0
Alle economische activiteiten,S Overige diensten,2022,Maart 2022,21.0,11.0,48.0,80.0
Alle economische activiteiten,S Overige diensten,2022,April 2022,11.0,13.0,28.0,52.0
Alle economische activiteiten,S Overige diensten,2022,Mei 2022,18.0,14.0,52.0,84.0
Alle economische activiteiten,S Overige diensten,2022,Juni 2022,28.0,21.0,55.0,104.0
Alle economische activiteiten,S Overige diensten,2022,Juli 2022,9.0,4.0,18.0,31.0
Alle economische activiteiten,S Overige diensten,2022,Augustus 2022,12.0,16.0,14.0,42.0
Alle economische activiteiten,S Overige diensten,2022,September 2022,21.0,26.0,50.0,97.0
Alle economische activiteiten,S Overige diensten,2022,Oktober 2022,27.0,10.0,41.0,78.0
Alle economische activiteiten,S Overige diensten,2022,November 2022,2.0,10.0,37.0,49.0
Alle economische activiteiten,S Overige diensten,2022,December 2022,16.0,11.0,29.0,56.0
Alle economische activiteiten,S Overige diensten,2023,Januari 2023,11.0,15.0,35.0,61.0
Alle economische activiteiten,S Overige diensten,2023,Februari 2023,17.0,13.0,37.0,67.0
Alle economische activiteiten,S Overige diensten,2023,Maart 2023,26.0,70.0,48.0,144.0
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,Maart 2022,,,,
Alle economische activiteiten,T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,2022,April 2022,,,,
